CategoryID,CategoryLevel,CategoryName,CategoryParentID,UpdateTime,CategoryVersion
353,1,Antiques,353,2012-04-06T01:51:40.000Z,91
13851,2,Antique Clocks,353,,
100904,3,Bracket Clocks,13851,,
66840,4,Pre-1900,100904,,
96762,4,Post-1900,100904,,
13850,3,Cuckoo Clocks,13851,,
100905,3,Longcase/ Grandfather Clocks,13851,,
60249,4,Pre-1900,100905,,
96763,4,Post-1900,100905,,
100906,3,Mantel/ Carriage Clocks,13851,,
60248,4,Pre-1900,100906,,
96764,4,Post-1900,100906,,
100907,3,Wall Clocks,13851,,
60250,4,Pre-1900,100907,,
96765,4,Post-1900,100907,,
112089,3,Clock Parts,13851,,
100908,3,Other Antique Clocks,13851,,
3929,4,Pre-1900,100908,,
96766,4,Post-1900,100908,,
20091,2,Antique Furniture,353,,
98436,3,Armoires/ Wardrobes,20091,,
98437,4,Pre-Victorian (Pre-1837),98436,,
60275,4,Victorian (1837-1901),98436,,
121481,4,Edwardian (1901-1910),98436,,
66858,4,20th Century,98436,,
130929,4,Reproduction Arms./ Wardrobes,98436,,
63549,3,Beds,20091,,
63552,4,Pre-Victorian (Pre-1837),63549,,
63550,4,Victorian (1837-1901),63549,,
121473,4,Edwardian (1901-1910),63549,,
63551,4,20th Century,63549,,
130921,4,Reproduction Beds,63549,,
63553,3,Benches/ Stools,20091,,
63554,4,Pre-Victorian (Pre-1837),63553,,
63555,4,Victorian (1837-1901),63553,,
121474,4,Edwardian (1901-1910),63553,,
63556,4,20th Century,63553,,
130922,4,Reproduction Benches/ Stools,63553,,
63557,3,Bookcases,20091,,
63558,4,Pre-Victorian (Pre-1837),63557,,
63559,4,Victorian (1837-1901),63557,,
121475,4,Edwardian (1901-1910),63557,,
63560,4,20th Century,63557,,
130923,4,Reproduction Bookcases,63557,,
98430,3,Boxes/ Chests,20091,,
98431,4,Pre-Victorian (Pre-1837),98430,,
66842,4,Victorian (1837-1901),98430,,
121476,4,Edwardian (1901-1910),98430,,
66854,4,20th Century,98430,,
130924,4,Reproduction Boxes/ Chests,98430,,
98432,3,Bureaux,20091,,
98433,4,Pre-Victorian (Pre-1837),98432,,
96755,4,Victorian (1837-1901),98432,,
121477,4,Edwardian (1901-1910),98432,,
96758,4,20th Century,98432,,
130925,4,Reproduction Bureaux,98432,,
63561,3,Cabinets,20091,,
63562,4,Pre-Victorian (Pre-1837),63561,,
63563,4,Victorian (1837-1901),63561,,
121478,4,Edwardian (1901-1910),63561,,
63564,4,20th Century,63561,,
130926,4,Reproduction Cabinets,63561,,
63565,3,Chairs,20091,,
63566,4,Pre-Victorian (Pre-1837),63565,,
63567,4,Victorian (1837-1901),63565,,
121479,4,Edwardian (1901-1910),63565,,
63568,4,20th Century,63565,,
130927,4,Reproduction Chairs,63565,,
98434,3,Chests of Drawers,20091,,
98435,4,Pre-Victorian (Pre-1837),98434,,
66844,4,Victorian (1837-1901),98434,,
121480,4,Edwardian (1901-1910),98434,,
66857,4,20th Century,98434,,
130928,4,Reproduction Chests of Drawers,98434,,
100925,3,Coffers,20091,,
63569,3,Desks,20091,,
63570,4,Pre-Victorian (Pre-1837),63569,,
63571,4,Victorian (1837-1901),63569,,
121482,4,Edwardian (1901-1910),63569,,
63572,4,20th Century,63569,,
130930,4,Reproduction Desks,63569,,
63577,3,Dressers,20091,,
63578,4,Pre-Victorian (Pre-1837),63577,,
63579,4,Victorian (1837-1901),63577,,
121483,4,Edwardian (1901-1910),63577,,
63580,4,20th Century,63577,,
130931,4,Reproduction Dressers,63577,,
98438,3,Dressing Tables,20091,,
98439,4,Pre-Victorian (Pre-1837),98438,,
96756,4,Victorian (1837-1901),98438,,
121484,4,Edwardian (1901-1910),98438,,
96759,4,20th Century,98438,,
130932,4,Reproduction Dressing Tables,98438,,
98440,3,Lamps,20091,,
98441,4,Pre-Victorian (Pre-1837),98440,,
63547,4,Victorian (1837-1901),98440,,
121488,4,Edwardian (1901-1910),98440,,
66861,4,20th Century,98440,,
130933,4,Reproduction Lamps,98440,,
98442,3,Mirrors,20091,,
98443,4,Pre-Victorian (Pre-1837),98442,,
20089,4,Victorian (1837-1901),98442,,
121489,4,Edwardian (1901-1910),98442,,
79951,4,20th Century,98442,,
130934,4,Reproduction Mirrors,98442,,
98444,3,Sideboards,20091,,
98445,4,Pre-Victorian (Pre-1837),98444,,
